a,ɑ,m,"['préposition', 'pronom personnel', 'interjection', 'verbe', 'lettre']"
à,a ak.sɑ̃ ɡʁav,m,"['préposition', 'pronom personnel', 'lettre']"
abaissa,a.bɛ.sa,,['verbe']
abaissable,a.bɛ.sabl,m,['adjectif']
abaissables,a.bɛ.sabl,m,['adjectif']
abaissai,a.bɛ.sɛ,,['verbe']
abaissaient,a.bɛ.sɛ,,['verbe']
abaissais,a.bɛ.sɛ,,['verbe']
abaissait,a.bɛ.sɛ,,['verbe']
abaissâmes,a.bɛ.sam,,['verbe']
abaissant,a.bɛ.sɑ̃,m,"['adjectif', 'verbe']"
abaissante,a.be.sɑ̃,,['adjectif']
abaissantes,a.be.sɑ̃,,['adjectif']
abaissants,a.be.sɑ̃,,['adjectif']
abaissas,a.bɛ.sa,,['verbe']
abaissasse,a.bɛ.sas,,['verbe']
abaissassent,a.bɛ.sas,,['verbe']
abaissasses,a.bɛ.sas,,['verbe']
abaissassiez,a.bɛ.sa.sje,,['verbe']
abaissassions,a.bɛ.sa.sjɔ̃,,['verbe']
abaissât,a.bɛ.sa,,['verbe']
abaissâtes,a.bɛ.sat,,['verbe']
abaisse,a.bɛs,f,"['nom', 'verbe']"
abaissé,a.be.se,,"['adjectif', 'verbe']"
abaissée,a.bɛ.se,f,"['adjectif', 'nom', 'verbe']"
abaissées,a.bɛ.se,f,"['adjectif', 'nom', 'verbe']"
abaisse-langue,a.bɛs.lɑ̃ɡ,m,['nom']
abaissement,a.bɛs.mɑ̃,m,['nom']
abaissements,a.bɛs.mɑ̃,m,['nom']
abaissent,a.bɛs,,['verbe']
abaisser,a.be.se,,['verbe']
abaissera,a.bɛ.sə.ʁa,,['verbe']
abaisserai,a.bɛ.sə.ʁe,,['verbe']
abaisseraient,a.bɛ.sə.ʁɛ,,['verbe']
abaisserais,a.bɛ.sə.ʁɛ,,['verbe']
abaisserait,a.bɛ.sə.ʁɛ,,['verbe']
abaisseras,a.bɛ.sə.ʁa,,['verbe']
abaissèrent,a.bɛ.sɛʁ,,['verbe']
abaisserez,a.bɛ.sə.ʁe,,['verbe']
abaisseriez,a.bɛ.sə.ʁje,,['verbe']
abaisserions,a.bɛ.sə.ʁjɔ̃,,['verbe']
abaisserons,a.bɛ.sə.ʁɔ̃,,['verbe']
abaisseront,a.bɛ.sə.ʁɔ̃,,['verbe']
abaisses,a.bɛs,f,"['nom', 'verbe']"
abaissés,a.be.se,,"['adjectif', 'verbe']"
abaisseur,a.bɛ.sœʁ,m,"['adjectif', 'nom']"
abaisseurs,a.bɛ.sœʁ,m,"['adjectif', 'nom']"
abaissez,a.bɛ.se,,['verbe']
abaissiez,a.bɛ.sje,,['verbe']
abaissions,a.bɛ.sjɔ̃,,['verbe']
abaissons,a.bɛ.sɔ̃,,['verbe']
abajoue,a.ba.ʒu,f,['nom']
abajoues,a.ba.ʒu,f,['nom']
abandon,a.bɑ̃.dɔ̃,m,['nom']
abandonna,a.bɑ̃.dɔ.na,,['verbe']
abandonnai,a.bɑ̃.dɔ.ne,,['verbe']
abandonnaient,a.bɑ̃.dɔ.nɛ,,['verbe']
abandonnais,a.bɑ̃.dɔ.nɛ,,['verbe']
abandonnait,a.bɑ̃.dɔ.nɛ,,['verbe']
abandonnâmes,a.bɑ̃.dɔ.nam,,['verbe']
